SNP_ID,chr_name,POS
130,AC01,19862986
131,AC01,20079268
132,AC01,20081249
133,AC01,20349280
134,AC01,20352422
135,AC01,20352490
136,AC01,50022551
137,AC01,27690455
138,AC01,351681
139,AC01,7169008
140,AC01,47712851
141,AC01,48071588
142,AC01,22718344
143,AC01,22718416
144,AC01,15847980
145,AC01,16941220
146,AC01,16991847
147,AC01,17166360
148,AC01,17587878
149,AC01,52694756
150,AC01,52694241
151,AC01,52604497
152,AC01,51575532
153,AC01,51994386
154,AC01,52216939
155,AC01,40809572
156,AC01,49077236
157,AC01,49066263
158,AC01,48962944
159,AC01,48887944
160,AC01,23888499
161,AC01,23786747
162,AC01,23554713
163,AC01,23297191
164,AC01,23278721
165,AC01,23205201
166,AC01,23156056
167,AC01,5611138
168,AC01,5438093
169,AC01,57604700
170,AC01,57579815
171,AC01,57284891
172,AC01,6031425
173,AC01,5027647
174,AC01,5027480
175,AC01,9863699
176,AC01,4900493
177,AC01,28394483
178,AC01,28441151
179,AC01,28470078
180,AC01,28528220
181,AC01,44732251
182,AC01,26468493
183,AC01,130069
184,AC01,20607219
185,AC01,45778481
186,AC01,49692197
187,AC01,35535035
188,AC01,57757713
189,AC01,26523415
190,AC01,52949428
191,AC01,26523382
192,AC01,42966959
193,AC01,27524802
194,AC01,54222446
195,AC01,39711635
196,AC01,50871882
197,AC01,50871802
198,AC01,16286480
199,AC01,21856627
200,AC01,19150101
201,AC01,19150119
202,AC01,34659490
203,AC01,11232802
204,AC01,40563067
205,AC01,23733756
206,AC01,24485538
207,AC01,41066546
208,AC01,41066544
209,AC01,27960959
210,AC01,27961078
211,AC01,47177255
212,AC01,53504690
213,AC01,27963302
214,AC01,27962809
215,AC01,53504494
216,AC01,2847394
217,AC01,52323691
218,AC01,21259771
219,AC01,23906695
220,AC01,32142753
221,AC01,50340537
222,AC01,50340536
223,AC01,4348641
224,AC01,41001868
225,AC01,40505498
226,AC01,51008587
227,AC01,31719172
228,AC01,1749943
229,AC01,5094535
230,AC01,8345402
231,AC01,49176625
232,AC01,44957196
233,AC01,32154673
234,AC01,54249719
235,AC01,29238803
236,AC01,51832588
237,AC01,56307550
238,AC01,31518496
239,AC01,22975269
240,AC01,29382358
241,AC01,49415496
242,AC01,9890948
243,AC01,27757997
244,AC01,33060757
245,AC01,29379067
246,AC01,53546689
247,AC01,17710947
248,AC01,56307488
249,AC01,15778396
250,AC01,55978651
251,AC01,52922934
252,AC01,57897490
253,AC01,44010402
254,AC01,51168870
255,AC01,57025557
256,AC01,9819161
257,AC01,40563033
258,AC01,1714249
259,AC01,47859432
260,AC01,21338491
261,AC01,16525531
262,AC01,44021998
263,AC01,40290877
264,AC01,31065895
265,AC01,29489925
266,AC01,55524370
267,AC01,32837603
268,AC01,50149445
269,AC01,24840512
270,AC01,51156047
271,AC01,37751307
272,AC01,41023188
273,AC01,51168955
274,AC01,51274560
275,AC01,7639759
276,AC01,15931632
277,AC01,42289104
278,AC01,38964473
279,AC01,5949625
280,AC01,32182706
281,AC01,26355499
282,AC01,15838935
283,AC01,308568
284,AC01,2155417
285,AC01,5783745
286,AC01,33864271
287,AC01,9340974
288,AC01,55855832
289,AC01,3346705
290,AC01,2745950
291,AC01,2701215
292,AC01,55885065
293,AC01,55947354
294,AC01,56011637
295,AC01,56526553
296,AC01,56717076
297,AC01,57034895
298,AC01,57164707
299,AC01,25748785
300,AC01,5348106
301,AC01,206439
302,AC01,19877254
303,AC01,20528285
304,AC01,20590433
305,AC01,21033375
306,AC01,21159313
307,AC01,51064343
308,AC01,51002334
309,AC01,49721525
310,AC01,49471045
311,AC01,28231409
312,AC01,2087584
313,AC01,19231389
314,AC01,19425215
315,AC01,937234
316,AC01,47396196
317,AC01,47585703
318,AC01,22995212
319,AC01,1389702
320,AC01,13581244
321,AC01,14814259
322,AC01,15399485
323,AC01,16151594
324,AC01,17107937
325,AC01,17614578
326,AC01,18178394
327,AC01,57915868
328,AC01,57853816
329,AC01,51197425
330,AC01,51259498
331,AC01,51321549
332,AC01,51383804
333,AC01,48531001
334,AC01,48467353
335,AC01,24568466
336,AC01,24506268
337,AC01,24380219
338,AC01,9887495
339,AC01,43154210
340,AC01,45307886
341,AC01,52924445
342,AC01,11091813
343,AC01,28387205
344,AC01,30632985
345,AC01,33293271
346,AC01,33793471
347,AC01,34172957
348,AC01,34243847
349,AC01,36991567
350,AC01,37053747
351,AC01,37453219
352,AC01,37585927
353,AC01,37647951
354,AC01,40177859
355,AC01,23296371
356,AC01,42661854
357,AC01,43231827
358,AC01,30259990
359,AC01,30534995
360,AC01,31053237
361,AC01,31909768
362,AC01,32891416
363,AC01,33261131
364,AC01,33933423
365,AC01,36989582
366,AC01,38247395
367,AC01,55848055
368,AC01,55977910
369,AC01,51162081
370,AC01,26437301
371,AC01,19167977
372,AC01,19171767
373,AC01,19179203
374,AC01,19179294
375,AC01,19422269
376,AC01,51877242
377,AC01,48596636
378,AC01,6543091
379,AC01,21797028
380,AC01,11290889
381,AC01,51925464
382,AC01,51925463
383,AC01,5344382
384,AC01,27962621
385,AC01,52250016
386,AC01,25422359
387,AC01,15196034
388,AC01,15931679
389,AC01,21590813
390,AC01,43595118
391,AC01,2855753
392,AC01,51298709
393,AC01,30772357
394,AC01,56905019
395,AC01,25937675
396,AC01,2482995
397,AC01,18645516
398,AC01,19682397
399,AC01,4189455
400,AC01,4126616
401,AC01,207071
402,AC01,406556
403,AC01,468565
404,AC01,533647
405,AC01,7599026
406,AC01,46826652
407,AC01,4782077
408,AC01,22534088
409,AC01,22722955
410,AC01,1643752
411,AC01,1843429
412,AC01,38971744
413,AC01,39290971
414,AC01,39740702
415,AC01,39866400
416,AC01,15524914
417,AC01,9210235
418,AC01,54784348
419,AC01,11529759
420,AC01,40513954
421,AC01,40326380
422,AC01,40262499
423,AC01,3871270
424,AC01,24187838
425,AC01,55609134
426,AC01,55547017
427,AC01,23953156
428,AC01,23803490
429,AC01,23466325
430,AC01,23278603
431,AC01,23216402
432,AC01,57298144
433,AC01,8209577
434,AC01,5904977
435,AC01,6033867
436,AC01,7924806
437,AC01,7861561
438,AC01,42124534
439,AC01,42251016
440,AC01,54122804
441,AC01,54506520
442,AC01,4868042
443,AC01,28450374
444,AC01,31271719
445,AC01,31714868
446,AC01,31965298
447,AC01,36487371
448,AC01,36617032
449,AC01,38721946
450,AC01,8173761
451,AC01,6724696
452,AC01,37905312
453,AC01,17138728
454,AC01,3947775
455,AC01,11167102
456,AC01,3408326
457,AC01,25963362
458,AC01,31239731
459,AC01,44859171
460,AC01,52500959
461,AC01,49858337
462,AC01,49058645
463,AC01,20624846
464,AC01,32916873
465,AC01,49034721
466,AC01,10012184
467,AC01,39999919
468,AC01,31469533
469,AC01,28486996
470,AC01,52250000
471,AC01,31870478
472,AC01,278791
473,AC01,11132264
474,AC01,37288354
475,AC01,38486287
476,AC01,53758187
477,AC01,44671660
478,AC01,3996960
479,AC01,57579067
480,AC01,21800606
481,AC01,14315721
482,AC01,19443394
483,AC01,43124725
484,AC01,23291224
485,AC01,19137810
486,AC01,16199005
487,AC01,11132497
488,AC01,19093446
489,AC01,44799525
490,AC01,174064
491,AC01,17517203
492,AC01,23560281
493,AC01,22895408
494,AC01,32770875
495,AC01,38963130
496,AC01,9501106
497,AC01,57981576
498,AC01,29304420
499,AC01,3307546
500,AC01,37455140
501,AC01,45521759
502,AC01,23621185
503,AC01,5028588
504,AC01,35984249
505,AC01,29710981
506,AC01,56267424
507,AC01,38916298
508,AC01,30535728
509,AC01,55634983
510,AC01,40702770
511,AC01,32365399
512,AC01,33654042
513,AC01,29709674
514,AC01,25866670
515,AC01,20873786
516,AC01,36054747
517,AC01,9895578
518,AC01,6622527
519,AC01,57553082
520,AC01,9680231
521,AC01,50689167
522,AC01,30624502
523,AC01,28195736
524,AC01,8364185
525,AC01,5354189
526,AC01,7870412
527,AC01,45917586
528,AC01,35145841
529,AC01,22976722
530,AC01,7780361
531,AC01,32395828
532,AC01,40377879
533,AC01,20404441
534,AC01,36920181
535,AC01,49809305
536,AC01,26466679
537,AC01,2841551
538,AC01,29636524
539,AC01,17170603
540,AC01,11132693
541,AC01,55446627
542,AC01,22281421
543,AC01,51008505
544,AC01,34325915
545,AC01,57814442
546,AC01,38962940
547,AC01,21555969
548,AC01,29303995
549,AC01,19550258
550,AC01,30591404
551,AC01,33632768
552,AC01,48594875
553,AC01,2034781
554,AC01,47136534
555,AC01,55363022
556,AC01,44989592
557,AC01,37675600
558,AC01,24210479
559,AC01,35989111
560,AC01,39151495
561,AC01,26181882
562,AC01,32771084
563,AC01,43728153
564,AC01,35988162
565,AC01,21644095
566,AC01,34156068
567,AC01,35077039
568,AC01,48725454
569,AC01,41891967
570,AC01,22800903
571,AC01,39175321
572,AC01,5859559
573,AC01,34155899
574,AC01,2552559
575,AC01,31702441
576,AC01,53758182
577,AC01,33345584
578,AC01,9673495
579,AC01,57552793
580,AC01,26020012
581,AC01,36924261
582,AC01,11132643
583,AC02,15725925
584,AC02,19793346
585,AC02,42323728
586,AC02,8985031
587,AC02,12408441
588,AC02,5277812
589,AC02,11019565
590,AC02,1529205
591,AC02,27799903
592,AC02,4390354
593,AC02,33049516
594,AC02,19087800
595,AC02,42780593
596,AC02,35579727
597,AC02,25625424
598,AC02,21665196
599,AC02,18688000
600,AC02,7609100
601,AC02,9701570
602,AC02,23787897
603,AC02,12387078
604,AC02,9634939
605,AC02,15100525
606,AC02,9492400
607,AC02,15094897
608,AC02,19634540
609,AC02,36555467
610,AC02,7834155
611,AC02,8233850
612,AC02,33056358
613,AC02,19873968
614,AC02,7616716
615,AC02,13711913
616,AC02,6761629
617,AC02,22857367
618,AC02,16066335
619,AC02,953057
620,AC02,8998372
621,AC02,34766472
622,AC02,40349543
623,AC02,8889114
624,AC02,8806381
625,AC02,8801615
626,AC02,15275936
627,AC02,8800978
628,AC02,8801972
629,AC02,6293930
630,AC02,1557865
631,AC02,2617025
632,AC02,35119262
633,AC02,15091766
634,AC02,13605222
635,AC02,5298848
636,AC02,5684405
637,AC02,34130357
638,AC02,34255311
639,AC02,18699409
640,AC02,20113218
641,AC02,20113630
642,AC02,20162903
643,AC02,20636172
644,AC02,21438244
645,AC02,22266427
646,AC02,22270360
647,AC02,22286752
648,AC02,23892858
649,AC02,24365473
650,AC02,22937288
651,AC02,23096074
652,AC02,23144595
653,AC02,23144814
654,AC02,23155134
655,AC02,35019620
656,AC02,35119181
657,AC02,35198008
658,AC02,35380180
659,AC02,35494050
660,AC02,35550711
661,AC02,14823708
662,AC02,14598214
663,AC02,13738506
664,AC02,12646174
665,AC02,11801186
666,AC02,11284488
667,AC02,30035773
668,AC02,30019894
669,AC02,28902888
670,AC02,28701171
671,AC02,28562630
672,AC02,27931855
673,AC02,5174595
674,AC02,5298611
675,AC02,6914821
676,AC02,6193067
677,AC02,5884119
678,AC02,5883501
679,AC02,5675039
680,AC02,42298922
681,AC02,7303127
682,AC02,7288629
683,AC02,40257194
684,AC02,40721414
685,AC02,34760640
686,AC02,39491705
687,AC02,39491602
688,AC02,39282859
689,AC02,32993518
690,AC02,33030297
691,AC02,33358844
692,AC02,33363049
693,AC02,33544590
694,AC02,33549548
695,AC02,33668857
696,AC02,34131421
697,AC02,34261571
698,AC02,34271645
699,AC02,34276415
700,AC02,27357670
701,AC02,27867772
702,AC02,3680042
703,AC02,3905645
704,AC02,3949515
705,AC02,3979924
706,AC02,4066268
707,AC02,9674278
708,AC02,9659034
709,AC02,17123391
710,AC02,17094287
711,AC02,16835941
712,AC02,16729726
713,AC02,16484960
714,AC02,37210574
715,AC02,37233253
716,AC02,37322352
717,AC02,37439218
718,AC02,38775072
719,AC02,38844607
720,AC02,15874297
721,AC02,15875527
722,AC02,15978765
723,AC02,16058844
724,AC02,16068737
725,AC02,8910231
726,AC02,8910162
727,AC02,31229808
728,AC02,17744075
729,AC02,17534847
730,AC02,30822366
731,AC02,30821784
732,AC02,36211915
733,AC02,36086364
734,AC02,35927506
735,AC02,35927348
736,AC02,35889646
737,AC02,35881054
738,AC02,35871338
739,AC02,34229359
740,AC02,36891520
741,AC02,15445052
742,AC02,33313824
743,AC02,31162759
744,AC02,33281683
745,AC02,16678548
746,AC02,16678586
747,AC02,18848981
748,AC02,14100455
749,AC02,38212732
750,AC02,33314137
751,AC02,34535734
752,AC02,26969809
753,AC02,19038636
754,AC02,36800141
755,AC02,27976921
756,AC02,34054451
757,AC02,6485000
758,AC02,6485043
759,AC02,34229171
760,AC02,27164824
761,AC02,37755819
762,AC02,20935298
763,AC02,19184392
764,AC02,16066101
765,AC02,8800999
766,AC02,6293892
767,AC02,8997527
768,AC02,14811585
769,AC02,22994666
770,AC02,36871333
771,AC02,26874595
772,AC02,6661446
773,AC02,18478643
774,AC02,15136243
775,AC02,16526533
776,AC02,9664178
777,AC02,23930031
778,AC02,22608457
779,AC02,18269886
780,AC02,33262853
781,AC02,22265092
782,AC02,18786212
783,AC02,17136582
784,AC02,18865778
785,AC02,8876285
786,AC02,18478610
787,AC02,26874677
788,AC02,26874678
789,AC02,22085783
790,AC02,19381435
791,AC02,17136474
792,AC02,5751143
793,AC02,22574300
794,AC02,36462652
795,AC02,4491328
796,AC02,32486705
797,AC02,36363368
798,AC02,8963115
799,AC02,22562306
800,AC02,42080874
801,AC02,12454106
802,AC02,36707841
803,AC02,4484920
804,AC02,14593956
805,AC02,19021704
806,AC02,23522900
807,AC02,42780738
808,AC02,13192165
809,AC02,25211829
810,AC02,5012404
811,AC02,7260191
812,AC02,30167607
813,AC02,30105197
814,AC02,30042677
815,AC02,28577309
816,AC02,2838763
817,AC02,2198415
818,AC02,31482339
819,AC02,31544464
820,AC02,5231178
821,AC02,6914139
822,AC02,43242303
823,AC02,43179539
824,AC02,30752926
825,AC02,36847609
826,AC02,36781374
827,AC02,36719307
828,AC02,36657055
829,AC02,40528886
830,AC02,40248181
831,AC02,41363455
832,AC02,38928552
833,AC02,34816131
834,AC02,39735912
835,AC02,39611592
836,AC02,3545023
837,AC02,3856427
838,AC02,17170976
839,AC02,16920721
840,AC02,16774461
841,AC02,37248378
842,AC02,37311441
843,AC02,37375269
844,AC02,37539325
845,AC02,15484023
846,AC02,15608218
847,AC02,19437518
848,AC02,19687670
849,AC02,21694869
850,AC02,32378048
851,AC02,17928320
852,AC02,18064730
853,AC02,31125273
854,AC02,31312319
855,AC02,32344580
856,AC02,1173993
857,AC02,982320
858,AC02,785671
859,AC02,592857
860,AC02,243725
861,AC02,41645764
862,AC02,24513637
863,AC02,25079255
864,AC02,26284968
865,AC02,23154409
866,AC02,23280646
867,AC02,31087354
868,AC02,35869341
869,AC02,35204973
870,AC02,35525865
871,AC02,14518250
872,AC02,14451303
873,AC02,14202264
874,AC02,14140164
875,AC02,12422120
876,AC02,11468955
877,AC02,10700293
878,AC02,32995072
879,AC02,3991145
880,AC02,19908826
881,AC02,2836628
882,AC02,2138190
883,AC02,22392462
884,AC02,25629591
885,AC02,25676227
886,AC02,14502111
887,AC02,13386605
888,AC02,13289170
889,AC02,28006449
890,AC02,27943081
891,AC02,36849812
892,AC02,36838736
893,AC02,36838212
894,AC02,7288508
895,AC02,7244879
896,AC02,7238986
897,AC02,40457850
898,AC02,41015519
899,AC02,34658980
900,AC02,34652397
901,AC02,33226898
902,AC02,26793457
903,AC02,16843265
904,AC02,16836096
905,AC02,37438624
906,AC02,11006887
907,AC02,3903784
908,AC02,22524779
909,AC02,14811551
910,AC02,5040516
911,AC02,30669712
912,AC02,30545376
913,AC02,27949976
914,AC02,2386543
915,AC02,6652525
916,AC02,6589748
917,AC02,42393136
918,AC02,42528267
919,AC02,33657204
920,AC02,33719272
921,AC02,33918148
922,AC02,33980582
923,AC02,34300587
924,AC02,27882787
925,AC02,26607958
926,AC02,3482425
927,AC02,4044795
928,AC02,4295643
929,AC02,4490286
930,AC02,32111569
931,AC02,9955811
932,AC02,9890561
933,AC02,9675053
934,AC02,31921853
935,AC02,31730032
936,AC02,37867758
937,AC02,38065557
938,AC02,18729446
939,AC02,18922518
940,AC02,1938943
941,AC02,1679160
942,AC02,32531720
943,AC02,26222307
944,AC02,23946732
945,AC02,36187986
946,AC02,15148397
947,AC02,15085737
948,AC02,12105869
949,AC02,34535755
950,AC02,30675473
951,AC02,22754548
952,AC02,13050997
953,AC02,33100581
954,AC02,31392331
955,AC02,5172958
956,AC02,37075592
957,AC02,26624903
958,AC02,26875781
959,AC02,13155495
960,AC02,23216728
961,AC02,35460095
962,AC02,15091235
963,AC02,36814482
964,AC02,32644122
965,AC02,14510455
966,AC02,37260921
967,AC02,17196485
968,AC02,36449452
969,AC02,36256606
970,AC02,2260478
971,AC02,15378495
972,AC02,4000328
973,AC02,32470407
974,AC02,34518858
975,AC02,35936993
976,AC02,16167410
977,AC02,42782914
978,AC02,36947012
979,AC02,39277722
980,AC02,16491817
981,AC02,8822204
982,AC02,13964800
983,AC02,31386654
984,AC02,25015732
985,AC02,30827226
986,AC02,35807209
987,AC02,35019126
988,AC02,36845649
989,AC02,10544257
990,AC02,36897228
991,AC02,24851803
992,AC02,15873424
993,AC02,37487954
994,AC02,22934770
995,AC02,15417687
996,AC02,17146319
997,AC02,10029181
998,AC02,17195711
999,AC02,19479288
1000,AC02,23761390
1001,AC02,40736955
1002,AC02,33895691
1003,AC02,4068098
1004,AC02,33014041
1005,AC02,13058285
1006,AC02,31343937
1007,AC02,22115014
1008,AC02,36891178
1009,AC02,34396909
1010,AC02,35198176
1011,AC02,2148150
1012,AC02,29511812
1013,AC02,8093585
1014,AC02,35663369
1015,AC02,21441472
1016,AC02,34229229
1017,AC02,8579857
1018,AC02,36934963
1019,AC02,37439154
1020,AC02,36867103
1021,AC02,42553417
1022,AC02,19960487
1023,AC02,33362792
1024,AC02,36968357
1025,AC02,27402071
1026,AC02,37232644
1027,AC02,8529383
1028,AC02,25632724
1029,AC02,35550789
1030,AC02,30948111
1031,AC02,14643237
1032,AC02,36804547
1033,AC02,20634666
1034,AC02,1236938
1035,AC02,12835809
1036,AC02,34518764
1037,AC02,21075726
1038,AC02,11639148
1039,AC02,33103365
1040,AC02,37439068
1041,AC02,6444017
1042,AC02,39282649
1043,AC02,36934917
1044,AC02,10340332
1045,AC02,9673678
1046,AC02,21727434
1047,AC02,5932031
1048,AC02,36188084
1049,AC02,33498563
1050,AC02,40457465
1051,AC02,38586806
1052,AC02,23293087
1053,AC02,40257299
1054,AC02,33543065
1055,AC02,36087359
1056,AC02,21955122
1057,AC02,37137450
1058,AC03,24006885
1059,AC03,30409721
1060,AC03,12044632
1061,AC03,23860723
1062,AC03,27610903
1063,AC03,27610928
1064,AC03,27610843
1065,AC03,10605865
1066,AC03,8122588
1067,AC03,23855001
1068,AC03,27905257
1069,AC03,5546881
1070,AC03,22856950
1071,AC03,13117257
1072,AC03,14973664
1073,AC03,11282653
1074,AC03,9002120
1075,AC03,32193863
1076,AC03,151014
1077,AC03,2679914
1078,AC03,23502942
1079,AC03,34789979
1080,AC03,29930458
1081,AC03,23283800
1082,AC03,33733263
1083,AC03,4897723
1084,AC03,33707407
1085,AC03,33707355
1086,AC03,5429845
1087,AC03,33726183
1088,AC03,11180415
1089,AC03,11180138
1090,AC03,19582385
1091,AC03,22492961
1092,AC03,34924975
1093,AC03,32078867
1094,AC03,32098596
1095,AC03,17948771
1096,AC03,22334367
1097,AC03,22318769
1098,AC03,21555665
1099,AC03,21556227
1100,AC03,21556697
1101,AC03,21572369
1102,AC03,23352851
1103,AC03,314039
1104,AC03,25387580
1105,AC03,26229044
1106,AC03,2160530
1107,AC03,34907632
1108,AC03,34632208
1109,AC03,22586949
1110,AC03,22861529
1111,AC03,22889793
1112,AC03,31130337
1113,AC03,31140962
1114,AC03,19683727
1115,AC03,18105279
1116,AC03,17911353
1117,AC03,17472701
1118,AC03,9789183
1119,AC03,9789107
1120,AC03,26651269
1121,AC03,16491063
1122,AC03,22154629
1123,AC03,22153829
1124,AC03,3483341
1125,AC03,834018
1126,AC03,830625
1127,AC03,21619177
1128,AC03,21736241
1129,AC03,21814467
1130,AC03,6891708
1131,AC03,6346003
1132,AC03,7685100
1133,AC03,23850220
1134,AC03,23890995
1135,AC03,23956762
1136,AC03,24012380
1137,AC03,24016637
1138,AC03,28635880
1139,AC03,15864776
1140,AC03,15748235
1141,AC03,14388803
1142,AC03,13680080
1143,AC03,26261901
1144,AC03,26251881
1145,AC03,26231421
1146,AC03,26229902
1147,AC03,26090807
1148,AC03,518815
1149,AC03,7044615
1150,AC03,7042448
1151,AC03,10449773
1152,AC03,5881725
1153,AC03,12437723
1154,AC03,27859622
1155,AC03,30243529
1156,AC03,7656782
1157,AC03,23224854
1158,AC03,30098350
1159,AC03,28477844
1160,AC03,25139353
1161,AC03,23317306
1162,AC03,524637
1163,AC03,12305218
1164,AC03,8930279
1165,AC03,34354641
1166,AC03,33707289
1167,AC03,7599259
1168,AC03,25329111
1169,AC03,33706923
1170,AC03,25329147
1171,AC03,33707146
1172,AC03,12676604
1173,AC03,28132445
1174,AC03,33205682
1175,AC03,524569
1176,AC03,27441340
1177,AC03,27865147
1178,AC03,13304080
1179,AC03,13304078
1180,AC03,29553490
1181,AC03,27677866
1182,AC03,17171617
1183,AC03,17911270
1184,AC03,17172459
1185,AC03,27677972
1186,AC03,25477564
1187,AC03,26091714
1188,AC03,2789542
1189,AC03,8935525
1190,AC03,21549604
1191,AC03,33122240
1192,AC03,10951583
1193,AC03,22857017
1194,AC03,4445603
1195,AC03,28370508
1196,AC03,33205614
1197,AC03,102006
1198,AC03,1915075
1199,AC03,3383675
1200,AC03,11158003
1201,AC03,27441345
1202,AC03,30638521
1203,AC03,17877110
1204,AC03,13643411
1205,AC03,32194106
1206,AC03,503782
1207,AC03,7674277
1208,AC03,9673468
1209,AC03,840199
1210,AC03,22673189
1211,AC03,30303724
1212,AC03,524618
1213,AC03,23370364
1214,AC03,22496287
1215,AC03,33504165
1216,AC03,14921007
1217,AC03,30411554
1218,AC03,30788793
1219,AC03,31428440
1220,AC03,32012189
1221,AC03,32641325
1222,AC03,20504563
1223,AC03,19292302
1224,AC03,16818094
1225,AC03,10131694
1226,AC03,9710479
1227,AC03,9365693
1228,AC03,8925258
1229,AC03,8403185
1230,AC03,26359935
1231,AC03,27188872
1232,AC03,16570324
1233,AC03,22302932
1234,AC03,22178281
1235,AC03,22048768
1236,AC03,3356489
1237,AC03,35921509
1238,AC03,35351139
1239,AC03,917840
1240,AC03,248265
1241,AC03,21575284
1242,AC03,3132613
1243,AC03,29105857
1244,AC03,28023635
1245,AC03,27961352
1246,AC03,27647805
1247,AC03,27447944
1248,AC03,1182120
1249,AC03,33209299
1250,AC03,13932987
1251,AC03,12133254
1252,AC03,11815086
1253,AC03,11686632
1254,AC03,11618988
1255,AC03,11555059
1256,AC03,53760
1257,AC03,3638977
1258,AC03,10445440
1259,AC03,24512010
1260,AC03,24378290
1261,AC03,34753105
1262,AC03,22697985
1263,AC03,22822568
1264,AC03,22884962
1265,AC03,28370578
1266,AC03,31299853
1267,AC03,26229473
1268,AC03,66027
1269,AC03,2209510
1270,AC03,25330462
1271,AC03,24551233
1272,AC03,5548117
1273,AC03,22523658
1274,AC03,4980345
1275,AC03,22784954
1276,AC03,15041390
1277,AC03,30312651
1278,AC03,30329729
1279,AC03,31917757
1280,AC03,16752005
1281,AC03,8385375
1282,AC03,16506517
1283,AC03,33596036
1284,AC03,33828144
1285,AC03,4021631
1286,AC03,1922726
1287,AC03,12720748
1288,AC03,30629923
1289,AC03,14211841
1290,AC03,33039591
1291,AC03,2580402
1292,AC03,213637
1293,AC03,11357880
1294,AC03,11289464
1295,AC03,10910517
1296,AC03,6750051
1297,AC03,23499726
1298,AC03,29546948
1299,AC03,29294099
1300,AC03,28342500
1301,AC03,353301
1302,AC03,1053759
1303,AC03,15900802
1304,AC03,15836481
1305,AC03,12326410
1306,AC03,12259644
1307,AC03,4522685
1308,AC03,25042988
1309,AC03,29755900
1310,AC03,10258396
1311,AC03,34368899
1312,AC03,34302300
1313,AC03,23010794
1314,AC03,3985973
1315,AC03,28659694
1316,AC03,31236323
1317,AC03,22825274
1318,AC03,27319800
1319,AC03,3054423
1320,AC03,15348217
1321,AC03,6101100
1322,AC03,5195905
1323,AC03,31045329
1324,AC03,32064150
1325,AC03,618913
1326,AC03,12438016
1327,AC03,7656583
1328,AC03,2231226
1329,AC03,22785881
1330,AC03,21574993
1331,AC03,21488368
1332,AC03,32004255
1333,AC03,30335979
1334,AC03,1993468
1335,AC03,26261211
1336,AC03,30209302
1337,AC03,33871854
1338,AC03,19447436
1339,AC03,31044576
1340,AC03,30745676
1341,AC03,5902963
1342,AC03,11095239
1343,AC03,5429236
1344,AC03,12437919
1345,AC03,241578
1346,AC03,1103539
1347,AC03,2232188
1348,AC03,5706029
1349,AC03,13238912
1350,AC03,21549621
1351,AC03,7058969
1352,AC03,21342597
1353,AC03,2129691
1354,AC03,7775032
1355,AC03,1931978
1356,AC03,29735922
1357,AC03,654708
1358,AC03,16087931
1359,AC03,291014
1360,AC03,4046795
1361,AC03,24915599
1362,AC03,19223204
1363,AC03,29430957
1364,AC03,7586883
